;buyer;count;;
1;90296610293;4404;;
2;90296610307;3683;;
3;90296610315;2467;;
4;90296610323;2320;;
5;90296610331;2310;;
6;832796936540654;2213;;
7;832796936540829;1797;;
8;1000 HSB Göteborg Ek. Förening/Medl;1684;;
9;2977373834 COLLECTOR;1670;;
10;9023.78.886.63;1582;;
11;9023.78.886.63 saxar o frisyr;1467;;
12;9023.78.887.01;1322;;
13;9023.78.887.36;1314;;
14;AKAVIA;1227;;
15;Bahnhof;1125;;
16;barn mobil;1113;;
17;Bauhaus;1101;;
18;Bensin;1093;;
19;Besiktning;1051;;
20;Bil;1012;;
21;Bilhyra;993;;
22;BILLDALS RIDKLUBB;963;;
23;Biltema;939;;
24;BIOZONE SCIENTIFIC SCANDINAVIA AB;918;;
25;Boda hus;910;;
26;BODIL KARLSSON;883;;
27;Boxer;845;;
28;CENTRALA STUDIESTÖDSNÄMNDEN;821;;
29;COLLECTOR BANK AB;815;;
30;Compeed;809;;
31;Compeed igen;800;;
32;Corona test;775;;
33;EGMONT PUBLISHING AB;766;;
34;ENERGIKUNDSERVICE SVERIGE;761;;
35;ENERGIKUNDSERVICE SVERIGE AB;733;;
36;Fastighets AB Kalvringen Sisjön;708;;
37;Flyttsajer;694;;
38;Fläktplatta;684;;
39;FOLKSAM ÖMSESIDIG SAKFÖRSÄKRING;684;;
40;Fondsparande Lann Mix;684;;
41;FORDONSSKATT TRANSPORTSTYRELSEN; Customs;668;
42;Freja borste;663;;
43;FRÅN LÖNEKONTO;661;;
44;Gbg Stad/Intraservice;632;;
45;Golv;610;;
46;GOTA MEDIA AB;602;;
47;HAGABADET;602;;
48;Halebop;598;;
49;Hallon Freja; COMMUNITIES AGENCY;595;
50;Hallon Gustaf;574;;
51;Hovås Askim Familjeläkare & BVC AB;571;;
52;HÖGSBY PASTORAT;544;;
53;IF SKADEFÖRSÄKRING AB (PU;533;;
54;Inteleon AB;525;;
55;Jord och gödsel;497;;
56;Juljlappp Rolf;486;;
57;Julklappar amazon;484;;
58;Julklappar Bokus;478;;
59;JULKLAPPAR ROLF;471;;
60;K*Adlibris A;461;;
61;K*DECATHLON;454;;
62;K*DPJ Svensk;451;;
63;K*Hall Media;448;;
64;K*Matsmart I; Coastguard Agency;445;
65;KLARNA BANK AB;445;;
66;KLARNA BANK AB;441;;
67;Kläder barn en;440;;
68;Kläder barnen;432;;
69;Lajan;426;;
70;LF Göteborg och Bohuslän E-faktura;413;;
71;LF LIV;399;;
72;Lindås Rasta Ibk;391;;
73;Lister;371;;
74;Listwr;370;;
75;Lisyer;369;;
76;Mat Virserum;367;;
77;Mobik;367;;
78;Mobil barnen;362;;
79;Mobil gustaf;355;;
80;Parkeringstjänst Väst AB;354;;
81;Parkster / Billogram;354;;
82;PayEx Sverige AB/Hemfrid i Sverige;352;;
83;Paynova AB (publ);350;;
84;Polismyndigheten;349;;
85;Present Gunvor; Wrekin Council;349;
86;Present Gustaf;Q Construction;346;
87;Qliro;342;;
88;Regionservice Patientfakturor;341;;
89;Regnkläder;336;;
90;Saco Folksam Försäkring AB; Commonwealth Office;328;
91;SKATTEVERKET;327;;
92;Skolkatalog;326;;
93;Skolkläder och skolsaker;321;;
94;Solid Försäkrings AB;321;;
95;Spade;320;;
