;value;fixedOrVariableCost;Category;Category_1;Category_2;Category_3;Comment
1;90296610293;Fasta;Boende;;;;Ränta (Länsförsäkringar 1)
2;90296610307;Fasta;Boende;;;;Ränta (Länsförsäkringar 2)
3;90296610315;Fasta;Boende;;;;Ränta (Länsförsäkringar 3)
4;90296610323;Fasta;Boende;;;;Ränta (Länsförsäkringar 4)
5;90296610331;Fasta;Boende;;;;Ränta (Länsförsäkringar 5)
6;832796936540654;Fasta;Spara;;;;
7;832796936540829;Fasta;Spara;;;;
8;1000 HSB Göteborg Ek. Förening/Medl;Rörligt;Boende;;;;
9;2977373834 COLLECTOR;Rörligt;;;;;
10;9023.78.886.63;Rörligt;Övrigt;;;;
11;9023.78.886.63 saxar o frisyr;Rörligt;Övrigt;;;;
12;9023.78.887.01;Rörligt;Övrigt;;;;
13;9023.78.887.36;Rörligt;Spara;;;;
14;AKAVIA;Fasta;Facket;;;;
15;Bahnhof;Fasta;Boende;;;;Bredband (Bahnhof)
16;barn mobil;Fasta;Mobil;;;;
17;Bauhaus;Fasta;Boende;;;;
18;Bensin;Rörligt;Transport;;;;
19;Besiktning;Rörligt;Transport;;;;
20;Bil;Rörligt;Transport;;;;
21;Bilhyra;Rörligt;Transport;;;;
22;BILLDALS RIDKLUBB;Fasta;Fritid;;;;
23;Biltema;Rörligt;Boende;;;;
24;BIOZONE SCIENTIFIC SCANDINAVIA AB;Rörligt;Boende;;;;
25;Boda hus;Rörligt;Övrigt;;;;
26;BODIL KARLSSON;Rörligt;Övrigt;;;;
27;Boxer;Rörligt;Boende;;;;Bredband (Boxer)
28;CENTRALA STUDIESTÖDSNÄMNDEN;Fasta;Lån;;;;
29;COLLECTOR BANK AB;Rörligt;;;;;
30;Compeed;Rörligt;Sjukvård;;;;
31;Compeed igen;Rörligt;Sjukvård;;;;
32;Corona test;Rörligt;Sjukvård;;;;
33;EGMONT PUBLISHING AB;Rörligt;Presenter;;;;
34;ENERGIKUNDSERVICE SVERIGE;Fasta;Boende;;;;El (Fortum Energikundservice)
35;ENERGIKUNDSERVICE SVERIGE AB;Fasta;Boende;;;;
36;Fastighets AB Kalvringen Sisjön;Rörligt;Boende;;;;
37;Flyttsajer;Rörligt;Boende;;;;
38;Fläktplatta;Rörligt;Boende;;;;
39;FOLKSAM ÖMSESIDIG SAKFÖRSÄKRING;Fasta;Försäkring;;;;
40;Fondsparande Lann Mix;Fasta;Spara;;;;
41;FORDONSSKATT TRANSPORTSTYRELSEN;Fasta;Transport;;;;Fordonskatt (Transportstyrelsen)
42;Freja borste;Rörligt;Övrigt;;;;
43;FRÅN LÖNEKONTO;Rörligt;Räkningar;;;;
44;Gbg Stad/Intraservice;Fasta;Fritid;;;;Vatten Avlopp (GBG stad
45;Golv;Rörligt;Boende;;;;
46;GOTA MEDIA AB;Rörligt;;;;;
47;HAGABADET;Fasta;Fritid;;;;
48;Halebop;Fasta;Mobil;;;;
49;Hallon Freja;Fasta;Mobil;;;;
50;Hallon Gustaf;Fasta;Mobil;;;;
51;Hovås Askim Familjeläkare & BVC AB;Rörligt;Sjukvård;;;;
52;HÖGSBY PASTORAT;Rörligt;Övrigt;;;;
53;IF SKADEFÖRSÄKRING AB (PU;Fasta;Försäkring;;;;Försäkring (If)
54;Inteleon AB;Rörligt;;;;;
55;Jord och gödsel;Rörligt;Boende;;;;
56;Juljlappp Rolf;Rörligt;Presenter;;;;
57;Julklappar amazon;Rörligt;Presenter;;;;
58;Julklappar Bokus;Rörligt;Presenter;;;;
59;JULKLAPPAR ROLF;Rörligt;Presenter;;;;
60;K*Adlibris A;Rörligt;Presenter;;;;
61;K*DECATHLON;Rörligt;Presenter;;;;
62;K*DPJ Svensk;Rörligt;;;;;
63;K*Hall Media;Rörligt;;;;;
64;K*Matsmart I;Rörligt;Mat;;;;
65;KLARNA BANK AB;Rörligt;Övrigt;;;;
66;KLARNA BANK AB;Rörligt;Övrigt;;;;
67;Kläder barn en;Rörligt;Kläder;;;;
68;Kläder barnen;Rörligt;Kläder;;;;
69;Lajan;Rörligt;Boende;;;;
70;LF Göteborg och Bohuslän E-faktura;Fasta;Försäkring;;;;Försäkring (Länsförsäkringar)
71;LF LIV;Fasta;Försäkring;;;;
72;Lindås Rasta Ibk;Fasta;Fritid;;;;
73;Lister;Rörligt;Boende;;;;
74;Listwr;Rörligt;Boende;;;;
75;Lisyer;Rörligt;Boende;;;;
76;Mat Virserum;Rörligt;Mat;;;;
77;Mobik;Fasta;Mobil;;;;
78;Mobil barnen;Fasta;Mobil;;;;
79;Mobil gustaf;Fasta;Mobil;;;;
80;Parkeringstjänst Väst AB;Rörligt;Transport;;;;
81;Parkster / Billogram;Rörligt;;;;;
82;PayEx Sverige AB/Hemfrid i Sverige;Fasta;Boende;;;;
83;Paynova AB (publ);Rörligt;;;;;
84;Polismyndigheten;Rörligt;Transport;;;;
85;Present Gunvor;Rörligt;Present;;;;
86;Present Gustaf;Rörligt;Present;;;;
87;Qliro;Rörligt;;;;;
88;Regionservice Patientfakturor;Rörligt;Sjukård;;;;
89;Regnkläder;Rörligt;Kläder;;;;
90;Saco Folksam Försäkring AB;Fasta;Försäkring;;;;
91;SKATTEVERKET;Rörligt;Skatt;;;;
92;Skolkatalog;Rörligt;Övrigt;;;;
93;Skolkläder och skolsaker;Rörligt;Kläder;;;;
94;Solid Försäkrings AB;Rörligt;Försäkring;;;;
95;Spade;Rörligt;Boende;;;;
96;SULF Sveriges Univ.lärare och forsk;Fasta;Facket;;;;
97;SVERIGES INGENJÖRER;Fasta;Facket;;;;
98;tapetklister;Rörligt;Boende;;;;
