value;TypeofPayment;fixedOrVariableCost;Category;Category_1;Category_2;Category_3;Comment
LIM*RIDE COST,STOCKHOLM,SE;Kort;Rörligt;Övrigt;;;;
LIME SWEDEN,STOCKHOLM,SE;Kort;Rörligt;Övrigt;;;;
LIME,STOCKHOLM,SE;Kort;Rörligt;Övrigt;;;;
LINDEX/36,VESTRA FROLUN,SE;Kort;Rörligt;Kläder;;;;
LINDEX/39,OSKARSHAMN,SE;Kort;Rörligt;Kläder;;;;
LJUNGSTROMS KOK,JERVSO,SE;Kort;Rörligt;Mat;;;;
LLOYDSAPOTEK BILLDAL GOTEBORG;Kort;Rörligt;Sjukvård;;;;
LLOYDSAPOTEK BILLDAL,GOTEBORG,SE;Kort;Rörligt;Sjukvård;;;;
LLOYDSAPOTEK102,Hovaas,SE;Kort;Rörligt;Sjukvård;;;;
LUNDBY BIBLIOTE GOTEBORG;Kort;Rörligt;Övrigt;;;;
LUNDBYBADET,GOTEBORG,SE;Kort;Rörligt;Fritid;;;;
MARIA LIVS ATRASAM LIVS,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
MARIAS I KINNA AB,KINNA,SE;Kort;Rörligt;Mat;;;;
MATLYCKAN AB,NASSJO,SE;Kort;Rörligt;Mat;;;;
MAXI ICA STORMARKNAD H,VASTRA FROLUN,SE;Kort;Rörligt;Mat;;;;
MAXI ICA STORMARKNAD HOGS VAST;Kort;Rörligt;Mat;;;;
MAXI ICA STORMARKNAD HOGS,VASTRA FROLUN,SE;Kort;Rörligt;Mat;;;;
MAXI ICA STORMARKNAD O,OSKARSHAMN,SE;Kort;Rörligt;Mat;;;;
MAXI ICA STORMARKNAD OSKA OSKA;Kort;Rörligt;Mat;;;;
MAXI ICA STORMARKNAD TORS,TORSLANDA,SE;Kort;Rörligt;Mat;;;;
MAXI ICA STORMARKNAD U,ULRICEHAMN,SE;Kort;Rörligt;Mat;;;;
MAXI ICA STORMARKNAD V,VETLANDA,SE;Kort;Rörligt;Mat;;;;
MCD 066 - A6 MC,JONKOPING,SE;Kort;Rörligt;Mat;;;;
MCD 238 GBG, RA GOTEBORG;Kort;Rörligt;Mat;;;;
MCD 238 GBG, RA,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
MCD 97 - BORAS,BORAS,SE;Kort;Rörligt;Mat;;;;
MCD SCANDINAV,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
MCD ULRICEHAMN,ULRICEHAMN,SE;Kort;Rörligt;Mat;;;;
MCDONALD S LAND LANDVETTER;Kort;Rörligt;Mat;;;;
MCDONALD´S LAND,LANDVETTER,SE;Kort;Rörligt;Mat;;;;
MCDONALDS 131 OSKARSHAMN;Kort;Rörligt;Mat;;;;
MCDONALDS 222 V VETLANDA;Kort;Rörligt;Mat;;;;
MCDONALDS 222 V,VETLANDA,SE;Kort;Rörligt;Mat;;;;
MCDONALDS BACK,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
MCDONALDS FROLU VASTRA FROLUN;Kort;Rörligt;Mat;;;;
MCDONALDS FROLU,VASTRA FROLUN,SE;Kort;Rörligt;Mat;;;;
MCDONALDS GOTEB,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
MCDONALDS HULTA,BORAS,SE;Kort;Rörligt;Mat;;;;
MCDONALDS KINNA,KINNA,SE;Kort;Rörligt;Mat;;;;
MCDONALDS KIOSK,KUNGSBACKA,SE;Kort;Rörligt;Mat;;;;
MCDONALDS MOLND MOLNDAL;Kort;Rörligt;Mat;;;;
MCDONALDS MOLND,MOLNDAL,SE;Kort;Rörligt;Mat;;;;
MCDONALDS ONSAL,KUNGSBACKA,SE;Kort;Rörligt;Mat;;;;
MCDONALDS,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
MEKONOMEN BILLI,VASTRA FROLU,SE;Kort;Rörligt;Transport;;;;
MEKONOMENTORPAV,GÖTEBORG,SE;Kort;Rörligt;Transport;;;;
Metallica;Kort;Rörligt;Övrigt;;;;
Microsoft*Store,msbill.info,IE;Kort;Rörligt;Övrigt;;;;
MR GATSBY PIZZERIA ASKIM;Kort;Rörligt;Mat;;;;
MR GATSBY PIZZERIA,Askim,SE;Kort;Rörligt;Mat;;;;
MR INDIA GOTEBORG;Kort;Rörligt;Mat;;;;
MR TOMATO,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
MYCASE-PODRUZNICA ZAGR,ZAGREB,HR;Kort;Rörligt;Övrigt;;;;
MYSKJE MACKEN,SODERALA,SE;Kort;Rörligt;Mat;;;;
NARA DEJ VETLANDA,VETLANDA,SE;Kort;Rörligt;Mat;;;;
NETS*collagefoto.se,Malmo,SE;Kort;Rörligt;Övrigt;;;;
NIDS 4 KIDS,GOTEBORG,SE;Kort;Rörligt;Kläder;;;;
NOBELIUS VILTAFFAR AB,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
NORDSTANS SAMFA,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
Nota Harvest by Mannerström;Kort;Rörligt;Mat;;;;
NOTKARNAN HOVASASKIM VC ASKIM;Kort;Rörligt;Sjukvård;;;;
NRG PIZZA 225,JONKOPING,SE;Kort;Rörligt;Mat;;;;
NYA*Albrechts Lunchres,97237694380,SE;Kort;Rörligt;Mat;;;;
NYA*Enhet 2008,97237694380,SE;Kort;Rörligt;Mat;;;;
NYA*Toalett,46031920985,SE;Kort;Rörligt;Övrigt;;;;
O LEARYS GOTEBO,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
OKQ8 GOTEBORG;Kort;Rörligt;Transport;;;;
OKQ8 LANDVETTER;Kort;Rörligt;Transport;;;;
OKQ8,BILLDAL,SE;Kort;Rörligt;Transport;;;;
OKQ8,GOTEBORG,SE;Kort;Rörligt;Transport;;;;
OKQ8,VASTRA FROLUN,SE;Kort;Rörligt;Transport;;;;
OKQ8,VÄSTRA FRÖLUN,SE;Kort;Rörligt;Transport;;;;
ONGO VASTRA FROLUN;Kort;Rörligt;Transport;;;;
ONGO,VASTRA FROLUN,SE;Kort;Rörligt;Transport;;;;
PA SPARET,VIMMERBY,SE;Kort;Rörligt;Mat;;;;
Panda -Gustav /Bengt;Kort;Rörligt;Övrigt;;;;
Pandaförsäljningen;Kort;Rörligt;Övrigt;;;;
PANDURO HOBBY,VESTRA FROLUN,SE;Kort;Rörligt;Övrigt;;;;
PARKERINGSBOLAGET GOTEBORG;Kort;Rörligt;Transport;;;;
PARKERINGSBOLAGET,GOTEBORG,SE;Kort;Rörligt;Transport;;;;
PILENS PIZZERIA,ASKIM,SE;Kort;Rörligt;Mat;;;;
PIZZERIA VIVALDI,ASKIM,SE;Kort;Rörligt;Mat;;;;
pjäxor;Kort;Rörligt;Fritid;;;;
PLANTAGEN ASKIM ASKIM;Kort;Rörligt;Boende;;;;
PLANTAGEN ASKIM,ASKIM,SE;Kort;Rörligt;Boende;;;;
PodMe Stockholm;Kort;Rörligt;Övrigt;;;;
PodMe,Stockholm,SE;Kort;Rörligt;Övrigt;;;;
PRALINEHUSET H.R AB,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
PREEM ASKIM;Kort;Rörligt;Transport;;;;
PREEM,ASKIM,SE;Kort;Rörligt;Transport;;;;
PREEM,BORAS,SE;Kort;Rörligt;Transport;;;;
PREEM,GOTEBORG,SE;Kort;Rörligt;Transport;;;;
PREEM,MÅLILLA,SE;Kort;Rörligt;Transport;;;;
present Maria;Kort;Rörligt;Presenter;;;;
PRESSBYRAN 4025133,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
PRESSBYRAN 4028140,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
PRESSBYRAN 4028142,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
PRESSBYRAN 4050156,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
PRESSBYRAN 4128121,V. FROLUNDA,SE;Kort;Rörligt;Mat;;;;
PRESSBYRAN 4128810,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
PRESSBYRAN 4244040,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
PRESSBYRAN 4325123,VASTRA FROLUN,SE;Kort;Rörligt;Mat;;;;
PRESSBYRAN 4325181,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
PRESSBYRÅN 4150145,GÖTEBORG,SE;Kort;Rörligt;Mat;;;;
PRESSBYRÅN 4228100,GÖTEBORG,SE;Kort;Rörligt;Mat;;;;
Qliro;Kort;Rörligt;Övrigt;;;;
QSTAR VETLANDA,VETLANDA,SE;Kort;Rörligt;Transport;;;;
RADIOSPELET,VASTRA FROLUN,SE;Kort;Rörligt;Övrigt;;;;
RAINBOW GLASS GODIS,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
RASTPUNKT LAXA,LAXA,SE;Kort;Rörligt;Mat;;;;
REPAIRHOUSE AB,Vastra Frolun,SE;Kort;Rörligt;Övrigt;;;;
RESTAURANG DUBBEL GARDEN,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
RESTAURANG GAST,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
RESTAURANG GREENS,VESTRA FROLUN,SE;Kort;Rörligt;Mat;;;;
RESTAURANG RASA SA YANG,MOLNDAL,SE;Kort;Rörligt;Mat;;;;
RESTURANG DIVAN,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
Rivjärn;Kort;Rörligt;Övrigt;;;;
RNB Retail and Brands,Stockholm,SE;Kort;Rörligt;Övrigt;;;;
ROOTS,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
RUDDALENS GYM,VASTRA FROLUN,SE;Kort;Rörligt;Fritid;;;;
RUSTA SISJON 46,ASKIM,SE;Kort;Rörligt;Boende;;;;
SALUHALLEN SERVERING,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
SAMUI THAI KITCHEN GOTEBORG;Kort;Rörligt;Mat;;;;
SANGJATTEN SVERIGE HOG,VASTRA FROLUN,SE;Kort;Rörligt;Boende;;;;
SANGUINE,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
SANKT JORGEN PARK RESORT,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
SEGA GUBBEN,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
SHELL 7-11 61327 VIARED BORAAS;Kort;Rörligt;Transport;;;;
SHELL ASKIM VAR,ASKIM,SE;Kort;Rörligt;Transport;;;;
SHELL BOTTNARYD,BOTTNARYD,SE;Kort;Rörligt;Transport;;;;
SHELL FJARAAS,FJARAAS,SE;Kort;Rörligt;Transport;;;;
SHELL GOTEBORG,GOTEBORG,SE;Kort;Rörligt;Transport;;;;
SHELL GÖTEBORG,,GÖTEBORG,SE;Kort;Rörligt;Transport;;;;
SHELL VASTRA FR,VASTRA FROLUN,SE;Kort;Rörligt;Transport;;;;
SKARA SOMMARLAND,AXVALL,SE;Kort;Rörligt;Fritid;;;;
SKENE KROG SVENSK OCH TUR,SKENE,SE;Kort;Rörligt;Mat;;;;
SKOVDE ARENA,SKOVDE,SE;Kort;Rörligt;Fritid;;;;
skål;Kort;Rörligt;Övrigt;;;;
SMSPARK.SE,MOLNDAL,SE;Kort;Rörligt;Transport;;;;
SOTA BAR SWEDEN AB,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
SOTA BAR SWEDEN AB,KUNGALV,SE;Kort;Rörligt;Mat;;;;
SPORTARENAN GOTEBORG VESTRA FR;Kort;Rörligt;Övrigt;;;;
SPORTSHOPEN SIS,ASKIM,SE;Kort;Rörligt;Kläder;;;;
ST1 VETLANDA,EKENÄSSJÖN,SE;Kort;Rörligt;Transport;;;;
STADIUM BACKAPL,GOTEBORG,SE;Kort;Rörligt;Kläder;;;;
STADIUM OUTLET,ASKIM,SE;Kort;Rörligt;Kläder;;;;
STADIUM SISJON,ASKIM,SE;Kort;Rörligt;Kläder;;;;
STADIUM VASTRA,VASTRA FROLUN,SE;Kort;Rörligt;Kläder;;;;
Star Stable NS9MQID1,Stockholm,SE;Kort;Rörligt;Övrigt;;;;
STAR,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
STORA COOP BACKAPLAN,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
STORA COOP BACKEBOL,HISINGS BACKA,SE;Kort;Rörligt;Mat;;;;
STORA COOP BACKEBOL,HISINGSBACKA,SE;Kort;Rörligt;Mat;;;;
STORA COOP SISJON,ASKIM,SE;Kort;Rörligt;Mat;;;;
STORA COOP SISJÖN,ASKIM,SE;Kort;Rörligt;Mat;;;;
Storytel Sweden AB,Stockholm,SE;Kort;Rörligt;Övrigt;;;;
SUSHI GARDEN,GOTEBORG,SE;Kort;Rörligt;Övrigt;;;;
Swish;Kort;Rörligt;Övrigt;;;;
Swish från AXEL BJÖRKLUND;Kort;Rörligt;Övrigt;;;;
Swish från Bodil Karlsson;Kort;Rörligt;Övrigt;;;;
Swish från Gunvor Karlsson;Kort;Rörligt;Övrigt;;;;
Swish från Karlsson, Bodil;Kort;Rörligt;Övrigt;;;;
Swish från MARTIN BERGENSTEIN;Kort;Rörligt;Övrigt;;;;
Swish från SARA PALMQVIST;Kort;Rörligt;Övrigt;;;;
Swish till BILLDALS RIDKLUBB;Kort;Rörligt;Övrigt;;;;
Swish till BSGA GÖTEBORG AB;Kort;Rörligt;Övrigt;;;;
Swish till Jakobsson, Morgan;Kort;Rörligt;Övrigt;;;;
Swish till NYA JÄRNBODEN I VIRSERU;Kort;Rörligt;Boende;;;;
Swish till SF Anytime AB;Kort;Rörligt;Övrigt;;;;
Swish till SOKOLOVA CONSULT AB;Kort;Rörligt;Övrigt;;;;
Swish till TOMAS FRÖDIN;Kort;Rörligt;Övrigt;;;;
Swish till VÄSTTRAFIK AB;Kort;Rörligt;Övrigt;;;;
Swish återbet från SF Anytime AB;Kort;Rörligt;Övrigt;;;;
SwishPaymentMessage;Kort;Rörligt;Övrigt;;;;
SYSTEMBOLAGET ASKIM ASKIM;Kort;Rörligt;Mat;;;;
SYSTEMBOLAGET ASKIM,ASKIM,SE;Kort;Rörligt;Mat;;;;
SYSTEMBOLAGET GOTEBORG,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
SYSTEMBOLAGET HOVAS,HOVAS,SE;Kort;Rörligt;Mat;;;;
Tack !;Kort;Rörligt;Övrigt;;;;
TANDOORI KITCHEN,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
TANKA SISJON,GOTEBORG,SE;Kort;Rörligt;Transport;;;;
TAXI GOTEBORG,GOTEBORG,SE;Kort;Rörligt;Transport;;;;
TEAM SPORTIA SODERHAMN,SODERHAMN,SE;Kort;Rörligt;Kläder;;;;
Toalett,Borlange,SE;Kort;Rörligt;Övrigt;;;;
TOETOE LTD,442088309955,GB;Kort;Rörligt;Övrigt;;;;
TOYSRUS 3212 Askim S;Kort;Rörligt;Övrigt;;;;
TRE INDIER GOTEBORG;Kort;Rörligt;Mat;;;;
TRIUMF GLASS OCH GODIS,VESTRA FROLUN,SE;Kort;Rörligt;Mat;;;;
tvärflöjt;Kort;Rörligt;Övrigt;;;;
TYSKA BRON,GOTEBORG,SE;Kort;Rörligt;Övrigt;;;;
UDEMY: ONLINE COURSES,DUBLIN 2,IE;Kort;Rörligt;Övrigt;;;;
ULLA J PLATS,MOLNDAL,SE;Kort;Rörligt;Mat;;;;
ULRICEHAMN SKIC ULRICEHAMN;Kort;Rörligt;Fritid;;;;
V F BIBLIOTEK VASTRA FROLUN;Kort;Rörligt;Övrigt;;;;
VASAKLINIKEN I SVERIGE GOTEBOR;Kort;Rörligt;Sjukvård;;;;
Vasttrafik AB Goteborg;Kort;Rörligt;Transport;;;;
Vasttrafik AB,Goteborg,SE;Kort;Rörligt;Transport;;;;
VÄSTTRAFIK AB,GOTEBORG,SE;Kort;Rörligt;Transport;;;;
WILLYS HEMMA GOTEBORG,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
WILLYS HEMMA PAVELUND,VASTRA FROLUN,SE;Kort;Rörligt;Mat;;;;
WILLYS HVITFELDTSPLATS,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
WILLYS OSKARSHAMN SNIC OSKARSH;Kort;Rörligt;Mat;;;;
WILLYS SISJON ASKIM;Kort;Rörligt;Mat;;;;
WILLYS SISJON,ASKIM,SE;Kort;Rörligt;Mat;;;;
WILLYS SISJÖN,ASKIM,SE;Kort;Rörligt;Mat;;;;
WWW.BILTEMA.COM,HELSINGBORG,SE;Kort;Rörligt;Boende;;;;
WWW.SFANYTIME.COM STOCKHOLM;Kort;Rörligt;Övrigt;;;;
WWW.SFANYTIME.COM,STOCKHOLM,SE;Kort;Rörligt;Övrigt;;;;
WWW.TELENOR.SE,HELSINGBORG,SE;Kort;Rörligt;Mobil;;;;
XXH M SE0249 VASTRA FR VASTRA;Kort;Rörligt;Kläder;;;;
XXL SPORT &VILD,ASKIM,SE;Kort;Rörligt;Kläder;;;;
XXL SPORT VILD ASKIM;Kort;Rörligt;Kläder;;;;
XXL SPORT VILD,ASKIM,SE;Kort;Rörligt;Kläder;;;;
Kök;Kort;Rörligt;Mat;;;;
Grill;Kort;Rörligt;Mat;;;;
DAHLS BAGERI,GOTEBORG,SE;Kortköp;Rörligt;Mat;;;;
DANILO RESTAURA,GOTEBORG,SE;Kortköp;Rörligt;Mat;;;;
DARYAS PIZZERIA,GOTEBORG,SE;Kortköp;Rörligt;Mat;;;;
90296610293;Låneinbetalning;Fasta;Boende;Lån;;;
90296610307;Låneinbetalning;Fasta;Boende;Lån;;;
90296610315;Låneinbetalning;Fasta;Boende;Lån;;;
90296610323;Låneinbetalning;Fasta;Boende;Lån;;;
90296610331;Låneinbetalning;Fasta;Boende;Lån;;;
90297468296;Låneinbetalning;Fasta;Boende;Lån;;;
90620302712;Låneinbetalning;Fasta;Boende;Lån;;;
Låneinbetalning;Låneinbetalning;Fasta;Lån;;;;
Löneinsättning;Löneinsättning;Fasta;Lön;;;;
832796936540654;Överföring;Fasta;Spara;Barn;;;
832796936540829;Överföring;Fasta;Spara;Barn;;;
HALLON FREJA;Överföring;Fasta;Mobil;Barn;;;
HALLON GUSTAF;Överföring;Fasta;Mobil;Barn;;;
Mobik;Överföring;Fasta;Mobil;Barn;;;
Mobil;Överföring;Fasta;Mobil;Barn;;;
Mobil barnen;Överföring;Fasta;Mobil;Barn;;;
Mobil gustaf;Överföring;Fasta;Mobil;Barn;;;
MOBL BARNEN;Överföring;Fasta;Mobil;Barn;;;
Överf ISK;Överföring;Fasta;Spara;Barn;;;
Mobilskal Gustaf;Överföring;Rörligt;Mobil;Barn;;;
9025.19.457.76;Överföring;Fasta;ÖverföringMat;;;;
Avbetalning bil Fredrik;Överföring;Fasta;ÖverföringSparande;;;;
BARN MOBIL;Överföring;Fasta;Mobil;;;;
Barnens mobil;Överföring;Fasta;Mobil;;;;
Barnens tfn;Överföring;Fasta;Mobil;;;;
Tillf mobil freja;Överföring;Fasta;Mobil;;;;
Tillf mobil frha;Överföring;Fasta;Mobil;;;;
2977373834 COLLECTOR;Överföring;Rörligt;Övrigt;;;;
5037.20.012.46;Överföring;Rörligt;Övrigt;;;;
9023.78.886.63;Överföring;Rörligt;ÖverföringLönBodil;;;;
9023.78.886.63 saxar o frisyr;Överföring;Rörligt;ÖverföringLönBodil;;;;
9023.78.887.01;Överföring;Rörligt;ÖverföringLönFredrik;;;;
9023.78.887.28;Överföring;Rörligt;ÖverföringRäkning;;;;
9023.78.887.36;Överföring;Rörligt;ÖverföringSparande;;;;
9023.78.898.13;Överföring;Rörligt;ÖverföringLikvid;;;;
9023.94.307.61;Överföring;Rörligt;ÖverföringBilkonto;;;;
9024.12.656.91;Överföring;Rörligt;Övrigt;;;;
9025.16.069.12;Överföring;Rörligt;Barn;;;;
Apotek;Överföring;Rörligt;Sjukvård;;;;
Astrid Lindgren;Överföring;Rörligt;Övrigt;;;;
BAUHAUS;Överföring;Rörligt;Boende;;;;
Bauhaus rep, kakel;Överföring;Rörligt;Boende;;;;
Bensib;Överföring;Rörligt;Transport;;;;
Bensin;Överföring;Rörligt;Transport;;;;
BESIKTNING;Överföring;Rörligt;Transport;;;;
Bil;Överföring;Rörligt;Transport;;;;
BILHYRA;Överföring;Rörligt;Transport;;;;
Billån löst volvon beyald;Överföring;Rörligt;Transport;;;;
BILREP;Överföring;Rörligt;Transport;;;;
Biltema;Överföring;Rörligt;Boende;;;;
biltema lampa;Överföring;Rörligt;Boende;;;;
blocket;Överföring;Rörligt;Övrigt;;;;
BODA HUS;Överföring;Rörligt;Boende;;;;
Bodil Karlsson;Överföring;Rörligt;Övrigt;;;;
boende 2 Nässjö;Överföring;Rörligt;Boende;;;;
boende Nässjö;Överföring;Rörligt;Boende;;;;
bäddmadrass;Överföring;Rörligt;Boende;;;;
Compeed;Överföring;Rörligt;Sjukvård;;;;
Compeed igen;Överföring;Rörligt;Sjukvård;;;;
Conpeed apotek;Överföring;Rörligt;Sjukvård;;;;
CORONA TEST;Överföring;Rörligt;Sjukvård;;;;
Cykel g;Överföring;Rörligt;Fritid;;;;
Dammsugare;Överföring;Rörligt;Boende;;;;
Dannsugare;Överföring;Rörligt;Boende;;;;
Disk Stråtjära;Överföring;Rörligt;Övrigt;;;;
Däckbyte;Överföring;Rörligt;Transport;;;;
extra fredrik;Överföring;Rörligt;Övrigt;;;;
Fg skor;Överföring;Rörligt;Kläder;;;;
Flyttsajer;Överföring;Rörligt;Boende;;;;
Flyttsaker;Överföring;Rörligt;Boende;;;;
Fläkt;Överföring;Rörligt;Boende;;;;
FLÄKTPLATTA;Överföring;Rörligt;Boende;;;;
Flöjt;Överföring;Rörligt;Fritid;;;;
Fonder fel;Överföring;Rörligt;Övrigt;;;;
FOTBOLL FREJ;Överföring;Rörligt;Fritid;;;;
FREDRIK MOBERG;Överföring;Rörligt;Övrigt;;;;
Freja borste;Överföring;Rörligt;Övrigt;;;;
Freja hämtar bilnyckel;Överföring;Rörligt;Övrigt;;;;
FRÅN LÖNEKONTO;Överföring;Rörligt; ;;;;
färg till vilg;Överföring;Rörligt;Boende;;;;
Gi o f skor;Överföring;Rörligt;Kläder;;;;
Glasögon mm;Överföring;Rörligt;Övrigt;;;;
GOD JUL;Överföring;Rörligt;Presenter;;;;
Golv;Överföring;Rörligt;Boende;;;;
Gustafs kalaskonto;Överföring;Rörligt;Presenter;;;;
jacka freja;Överföring;Rörligt;Kläder;;;;
Jord och gödsel;Överföring;Rörligt;Boende;;;;
Julia;Överföring;Rörligt;Presenter;;;;
Julia pres;Överföring;Rörligt;Presenter;;;;
Juljlappp Rolf;Överföring;Rörligt;Bidrag;;;;
JULKLAPP ROLF;Överföring;Rörligt;Bidrag;;;;
JULKLAPPAR AMAZON;Överföring;Rörligt;Presenter;;;;
JULKLAPPAR BOKUS;Överföring;Rörligt;Presenter;;;;
Julklappar Rolf;Överföring;Rörligt;Bidrag;;;;
kaffebryggare vilg;Överföring;Rörligt;Boende;;;;
Kalaspresenter;Överföring;Rörligt;Presenter;;;;
Kläder barn;Överföring;Rörligt;Kläder;;;;
Kläder barn en;Överföring;Rörligt;Kläder;;;;
KLÄDER BARNEN;Överföring;Rörligt;Kläder;;;;
Kylväska;Överföring;Rörligt;Boende;;;;
Lajan;Överföring;Rörligt;Boende;;;;
Lakan;Överföring;Rörligt;Boende;;;;
lampor madrass;Överföring;Rörligt;Boende;;;;
Lister;Överföring;Rörligt;Boende;;;;
Listwr;Överföring;Rörligt;Boende;;;;
Lisyer;Överföring;Rörligt;Boende;;;;
madrass mio;Överföring;Rörligt;Boende;;;;
madrasser 2st;Överföring;Rörligt;Boende;;;;
Mar Oskarshamn;Överföring;Rörligt;Mat;;;;
MAT;Överföring;Rörligt;Mat;;;;
Mat coop;Överföring;Rörligt;Mat;;;;
mat extra;Överföring;Rörligt;Mat;;;;
mat fredrik;Överföring;Rörligt;Mat;;;;
mat hovås;Överföring;Rörligt;Mat;;;;
mat Ica maxi;Överföring;Rörligt;Mat;;;;
mat Ica naxi;Överföring;Rörligt;Mat;;;;
mat kompletering;Överföring;Rörligt;Mat;;;;
Mat midsommar;Överföring;Rörligt;Mat;;;;
Mat o apotek;Överföring;Rörligt;Mat;;;;
mat röda byx affären;Överföring;Rörligt;Mat;;;;
Mat Virserum;Överföring;Rörligt;Mat;;;;
MAT WILLY;Överföring;Rörligt;Mat;;;;
MAT WILLYS;Överföring;Rörligt;Mat;;;;
MAT, APOTEK, KLÄDER;Överföring;Rörligt;Mat;;;;
mm att coop;Överföring;Rörligt;Mat;;;;
mm att Ica maxi;Överföring;Rörligt;Mat;;;;
Nat;Överföring;Rörligt;Mat;;;;
PRESENT G O;Överföring;Rörligt;Presenter;;;;
PRESENT GUNVOR;Överföring;Rörligt;Presenter;;;;
PRESENT GUSTAF;Överföring;Rörligt;Presenter;;;;
Presenter;Överföring;Rörligt;Presenter;;;;
Regnkläder;Överföring;Rörligt;Kläder;;;;
Resesäng;Överföring;Rörligt;Boende;;;;
röjsåg;Överföring;Rörligt;Boende;;;;
Saluhall;Överföring;Rörligt;Mat;;;;
saluhallen;Överföring;Rörligt;Mat;;;;
Sanering;Överföring;Rörligt;Boende;;;;
SISJ;Överföring;Rörligt;Övrigt;;;;
Skolkatalog;Överföring;Rörligt;Övrigt;;;;
Skolkläder och skolsaker;Överföring;Rörligt;Kläder;;;;
skor Gustaf;Överföring;Rörligt;Kläder;;;;
skridskor;Överföring;Rörligt;Fritid;;;;
Snabböverföring;Överföring;Rörligt;Övrigt;;;;
Sovsäck;Överföring;Rörligt;Fritid;;;;
spackel och cement;Överföring;Rörligt;Boende;;;;
Spade;Överföring;Rörligt;Boende;;;;
stolar jysk;Överföring;Rörligt;Boende;;;;
Stugprylar;Överföring;Rörligt;Boende;;;;
säng;Överföring;Rörligt;Boende;;;;
tapetklister;Överföring;Rörligt;Boende;;;;
TAPETKLISTTER;Överföring;Rörligt;Boende;;;;
Taxi;Överföring;Rörligt;Transport;;;;
termo byxor;Överföring;Rörligt;Kläder;;;;
till dörr;Överföring;Rörligt;Boende;;;;
Till Ebe;Överföring;Rörligt;Övrigt;;;;
Till ene;Överföring;Rörligt;Boende;;;;
TILL G & F;Överföring;Rörligt;Övrigt;;;;
Till ge;Överföring;Rörligt;Övrigt;;;;
Till matinköp;Överföring;Rörligt;Mat;;;;
toa, kakelvvs;Överföring;Rörligt;Boende;;;;
Täckning 23e;Överföring;Rörligt;Övrigt;;;;
veckomat;Överföring;Rörligt;Mat;;;;
VENTIL;Överföring;Rörligt;Boende;;;;
vilg husesyn;Överföring;Rörligt;Övrigt;;;;
vilg, besiktning;Överföring;Rörligt;Övrigt;;;;
WILLYS;Överföring;Rörligt;Mat;;;;
ÅTERBETALNIN;Överföring;Rörligt;Bidrag;;;;
överdrag f o g;Överföring;Rörligt;Kläder;;;;
ÖVERFÖRING;Överföring;Rörligt;Övrigt;;;;
