;buyer;count;;
0;Crescent Purchasing Consortium (CPC);4404;;
1;Crown Commercial Service;3683;;
2;UK SHARED BUSINESS SERVICES LIMITED;2467;;
3;Leeds City Council;2320;;
4;FCO SERVICES;2310;;
5;NHS SUPPLY CHAIN;2213;;
6;MINISTRY OF DEFENCE;1797;;
7;Espo;1684;;
8;TRANSPORT FOR LONDON;1670;;
9;Highways Agency;1582;;
10;Buckinghamshire County Council;1467;;
11;NEWCASTLE UNIVERSITY;1322;;
12;University Of The West Of England;1314;;
13;Fusion 21 Limited;1227;;
14;Defra Network eTendering Portal;1125;;
15;DEPARTMENT FOR EDUCATION;1113;;
16;The University Of Nottingham;1101;;
17;SE Shared Services;1093;;
18;Bradford Metropolitan District Council;1051;;
19;Public Health England;1012;;
20;Staffordshire County Council;993;;
21;MET OFFICE;963;;
22;YPO;939;;
23;UNIVERSITY OF BIRMINGHAM;918;;
24;Suffolk Sourcing;910;;
25;Cumbria County Council;883;;
26;Department For Transport;845;;
27;Sandwell Metropolitan Borough Council;821;;
28;Lancashire County Council;815;;
29;"DEPARTMENT FOR ENVIRONMENT, FOOD &amp; RURAL AFFAIRS";809;;
30;Darlington Borough Council;800;;
31;MINISTRY OF JUSTICE;775;;
32;HOME OFFICE;766;;
33;DEPARTMENT FOR INTERNATIONAL DEVELOPMENT;761;;
34;Bristol City Council;733;;
35;Lincolnshire County Council;708;;
36;Durham County Council;694;;
37;Highways England;684;;
38;Ministry of Justice.;684;;
39;Derby City Council;684;;
40;H M Revenue &amp; Customs;668;
41;RADIOACTIVE WASTE MANAGEMENT LIMITED;663;;
42;ESPO;661;;
43;Hampshire County Council;632;;
44;Cumbria Chamber of Commerce and Industry Ltd;610;;
45;Gloucestershire County Council;602;;
46;Procurement for Housing;602;;
47;STAFFORDSHIRE COUNTY COUNCIL;598;;
48;HOMES &amp; COMMUNITIES AGENCY;595;
49;NOTTINGHAM TRENT UNIVERSITY;574;;
50;CUMBRIA COUNTY COUNCIL;571;;
51;Sunderland City Council;544;;
52;DEPARTMENT FOR WORK AND PENSIONS;533;;
53;UNIVERSITY OF SHEFFIELD;525;;
54;BIRMINGHAM CHILDRENS HOSPITAL;497;;
55;THE UNITED KINGDOM HYDROGRAPHIC OFFICE;486;;
56;Liverpool City Council;484;;
57;Sheffield City Council;478;;
58;The British Broadcasting Corporation (BBC);471;;
59;East Riding of Yorkshire;461;;
60;QUADRANT CONSTRUCTION SERVICES LIMITED;454;;
61;Kirklees Council;451;;
62;BABCOCK INTERNATIONAL GROUP PLC;448;;
63;Maritime &amp; Coastguard Agency;445;
64;NORTH TYNESIDE COUNCIL;445;;
65;London Borough of Enfield;441;;
66;HIGHWAYS ENGLAND COMPANY LIMITED;440;;
67;DURHAM COUNTY COUNCIL;432;;
68;ESSEX COUNTY COUNCIL;426;;
69;South Tyneside Council;413;;
70;Leicester City Council;399;;
71;Halton Borough Council;391;;
72;Devon County Council;371;;
73;NHS England;370;;
74;SHEFFIELD HALLAM UNIVERSITY;369;;
75;Cheshire East Borough Council;367;;
76;Newcastle City Council;367;;
77;Manchester City Council;362;;
78;Home Office;355;;
79;Coventry - Solihull - Warwickshire;354;;
80;Fusion21 Members Consortium;354;;
81;NORTH EAST LINCOLNSHIRE COUNCIL;352;;
82;Ofgem;350;;
83;Valuation Office Agency;349;;
84;Telford &amp; Wrekin Council;349;
85;L&amp;Q Construction;346;
86;Middlesbrough Borough Council;342;;
87;Tower Hamlets;341;;
88;Suffolk County Council;336;;
89;Foreign &amp; Commonwealth Office;328;
90;Nottingham City Council;327;;
91;DERBYSHIRE COUNTY COUNCIL;326;;
92;Care Quality Commission;321;;
93;NORTHERN HOUSING CONSORTIUM LIMITED;321;;
94;National Audit Office;320;;
95;North Yorkshire County Council;320;;
96;Birmingham City Council;320;;
97;MEDICINES and HEALTHCARE PRODUCTS REGULATORY AGENCY;311;;
98;Central Bedfordshire Council;308;;
99;City of London Corporation;307;;
100;Hm Land Registry;306;;
101;The Litmus Partnership Ltd;304;;
102;Stoke-on-Trent City Council;297;;
103;Leicestershire County Council;296;;
104;Barnsley Metropolitan Borough Council;289;;
105;CORNWALL COUNCIL;284;;
106;UNIVERSITY OF WOLVERHAMPTON ENTERPRISE LIMITED;284;;
107;Dorset County Council;282;;
108;Bath and North East Somerset Council;278;;
109;Knowsley Council;275;;
110;Wiltshire Council;272;;
111;LHC;267;;
112;London Purchased Healthcare Team;265;;
113;HEALTH AND SOCIAL CARE INFORMATION CENTRE;263;;
114;Hartlepool Borough Council;252;;
115;Stockton Borough Council;250;;
116;University of Bath;248;;
117;Homes England (the name adopted by the Homes and Communities Agency);246;;
118;Blackpool Council;244;;
119;WATER SERVICES REGULATION AUTHORITY;242;;
120;Cambridgeshire County Council;239;;
121;Shropshire Council;238;;
122;East Riding Of Yorkshire Council;235;;
123;The University of Warwick;227;;
124;HER MAJESTYS LAND REGISTRY;226;;
125;CENTRE FOR PROCESS INNOVATION LIMITED;226;;
126;SKILLS FUNDING AGENCY;226;;
127;Department for Work and Pensions;225;;
128;Black Country Business;224;;
129;Parliament UK;222;;
130;NOE-CPC;219;;
131;Calderdale Council;217;;
132;Crown Prosecution Service;215;;
133;HS2;215;;
134;North Tyneside Council;212;;
135;Government Digital Service;209;;
136;REDCAR &amp; CLEVELAND BOROUGH COUNCIL;206;
137;Derbyshire County Council;206;;
138;LGSS;205;;
139;CHESTERFIELD ROYAL HOSPITALS NHS FOUNDATION TRUST;205;;
140;The Queen Elizabeth Hospital King&#039;s Lynn Nhs Foundation Trust;202;
141;D V L A;200;;
142;Doncaster MBC;197;;
143;LEICESTERSHIRE COUNTY COUNCIL;196;;
144;London Borough of Hillingdon;195;;
145;Wakefield Council Customer Service;191;;
146;TRANSPORT FOR LONDON FINANCE LIMITED;190;;
147;Norfolk County Council;190;;
148;Wolverhampton City Council;189;;
149;CHESHIRE EAST COUNCIL;189;;
150;Royal Borough Of Greenwich;187;;
151;NHS ARDEN AND GREATER EAST MIDLANDS COMMISSIONING SUPPORT UNIT;187;;
152;FORESTRY COMMISSION;186;;
153;General Medical Council (GMC);184;;
154;Isle of Wight Council;183;;
155;Bournemouth Borough Council;183;;
156;NHS Shared Business Services;182;;
157;BIRMINGHAM CITY COUNCIL;181;;
158;Transport For Greater Manchester;179;;
159;Middlesbrough Council;179;;
160;Salford City Council;178;;
161;Bassetlaw District Council;177;;
162;DEPARTMENT OF ENERGY AND CLIMATE CHANGE;176;;
163;Milton Keynes Council;175;;
164;THE BUSINESS GROWTH HUB LIMITED;169;;
165;University College of London Hospitals NHS Foundation Trust;169;;
166;North Lincolnshire Council;168;;
167;Torbay Council;168;;
168;ROYAL BOTANIC GARDENS;168;;
169;United Lincolnshire Hospitals NHS Trust;167;;
170;The Coal Authority;166;;
171;South East Consortium;164;;
172;COMPETITION AND MARKETS AUTHORITY;164;;
173;Driver &amp; Vehicle Licensing Agency;164;
174;Hertfordshire NHS Procurement;163;;
175;capitalEsourcing;163;;
176;Redcar & Cleveland Borough Council;161;;
177;SOUTHAMPTON CITY COUNCIL;159;;
178;London Borough of Merton;159;;
179;Sellafield Ltd;159;;
180;WOLVERHAMPTON CITY COUNCIL;158;;
181;NHS COMMISSIONING BOARD;157;;
182;NHS Digital;154;;
183;Department of Health;154;;
184;North of England Commercial Procurement Collaborative (NOE CPC);153;;
185;Welland Procurement Unit;151;;
186;FOREIGN &amp; COMMONWEALTH OFFICE;150;
187;Fusion21 Limited;150;;
188;Durham University;150;;
189;Lancaster University;148;;
190;London Borough of Barnet Council;148;;
191;CHARNWOOD BOROUGH COUNCIL;148;;
192;NHS Shared Business Services Ltd (NHS SBS);147;;
193;Wigan Council;146;;
194;HEALTH &amp; SAFETY EXECUTIVE;145;
195;Nottinghamshire County Council;145;;
196;NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT;142;;
197;North East Lincolnshire Council;141;;
198;Leicester city council;141;;
199;Northamptonshire County Council;140;;
200;UNIVERSITY COLLEGE LONDON;140;;
201;THE NATIONAL ARCHIVES;139;;
202;DEPARTMENT OF HEALTH;139;;
203;THE FINANCIAL CONDUCT AUTHORITY;139;;
204;Dorset HealthCare University NHS Foundation Trust;137;;
205;Newcastle University;136;;
206;Metropolitan Police Service;135;;
207;LONDON &amp; QUADRANT HOUSING TRUST LIMITED;134;
208;University of Leeds;133;;
209;Peterborough City Council;132;;
210;any of the projects listed on the portal ;132;;
211;Bolton Council;132;;
212;Supply Hertfordshire;132;;
213;Kent County Council;131;;
214;FALMOUTH EXETER PLUS;131;;
215;HIGH SPEED TWO (HS2) LIMITED;129;;
216;Transport Service Solutions trading as Cheshire East Borough Council;129;;
217;London Borough of Sutton;128;;
218;Capita Business Services;128;;
219;Homes and Communities Agency;128;;
220;Sefton Council;128;;
221;UCLPartners Procurement Services;127;;
222;N E L Commissioning Support Unit;127;;
223;Partners Procurement Service;127;;
224;South Yorkshire Police Headquarters;126;;
225;Rotherham MBC;126;;
226;SOUTH OF ENGLAND PROCUREMENT SERVICES;125;;
227;Yorkshire Purchasing Organisation;123;;
228;EQUALITY AND HUMAN RIGHTS COMMISSION;123;;
229;Herefordshire Council;123;;
230;EMSCU Nottinghamshire Police;123;;
231;Hull City Council;123;;
232;Hull &amp; East Yorkshire Hospitals Nhs Trust;122;
233;SOUTHEND-ON-SEA BOROUGH COUNCIL;122;;
234;Safe Regeneration Ltd;121;;
235;DEPARTMENT FOR INTERNATIONAL TRADE;121;;
236;Business Energy and Industrial Strategy;121;;
237;London Borough of Hounslow;119;;
238;Scarborough Borough Council;119;;
239;DEVON &amp; SOMERSET FIRE &amp; RESCUE SERVICE;117
240;Blue Orchid;116;;
241;Wirral Borough Council;116;;
242;Wyre Forest District Council;115;;
243;DEFENCE EQUIPMENT &amp; SUPPORT;114;
244;SUNDERLAND CITY COUNCIL;114;;
245;Education and Training Foundation;113;;
246;CPS;109;;
247;NORTH WESTERN UNIVERSITIES PURCHASING CONSORTIUM LIMITED;109;;
248;OFFICE OF RAIL AND ROAD;109;;
249;The University Of Leeds;109;;
250;Stockport Metropolitan Borough Council;108;;
251;TENDRING DISTRICT COUNCIL;108;;
252;Lancaster City Council;107;;
253;COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST;107;;
254;STAR Procurement;106;;
255;West Midlands Fire Service;106;;
256;EPPING FOREST DISTRICT COUNCIL;106;;
257;University Of Southampton;105;;
258;London Borough of Waltham Forest;105;;
259;North Somerset Council;105;;
260;Futures Housing Group;104;;
261;MOD   DE&amp;S   ISS   CORSHAM;104;
262;Swindon Borough Council;104;;
263;MEDWAY COUNCIL;104;;
264;Blackburn with Darwen;104;;
265;"HealthTrust Europe LLP (HTE) acting as agent for the University Hospitals of Coventry and Warwickshire NHS Trust (""UHCW"")";104;;
266;WESTWORKS PROCUREMENT LIMITED;103;;
267;Cambridgeshire District Councils;101;;
268;THIRTEEN HOUSING GROUP LIMITED;101;;
269;Canterbury City Council;101;;
270;BRIGHTON &amp; HOVE CITY COUNCIL;100;
271;Oxford City Council;99;;
272;West Yorkshire Combined Authority;99;;
273;Milton Keynes Council Electronic Tendering Site;99;;
274;Trafford Council;98;;
275;ASHFORD BOROUGH COUNCIL;98;;
276;NE Procurement Ltd;98;;
277;HAMPSHIRE COUNTY COUNCIL;98;;
278;Cornwall Council;97;;
279;Yorkshire and Humber Police Procurement (Y&amp;HPP);97;
280;ST HELENS &amp; KNOWSLEY TEACHING HOSPITALS NHS TRUST;97;
281;Southern Universities Purchasing Consortium (SUPC);97;;
282;LONDON UNIVERSITIES PURCHASING CONSORTIUM;96;;
283;Norwich City Council e-Tendering;95;;
284;London Borough Of Ealing;95;;
285;H M GOVERNMENT CABINET OFFICE;94;;
286;HEALTHTRUST EUROPE;93;;
287;London Borough of Southwark;93;;
288;London Borough of Ealing;93;;
