Institutions;Sector;ESA10 category;Classification applies from;Date classified on the PSCG;Notes;
124 Facilities Ltd - (s C4);Former Public Corporation;S.11001;1-Dec-02;May-12;;
2010 Rotherham Ltd;Former Public Corporation;S.11001;1-Jul-11;Jul-13;;
4 Ventures Ltd;Public Non-Financial Corporation;S.11001;1-Nov-00;May-12;;
A1 Housing Bassetlaw Ltd;Public Non-Financial Corporation;S.11001;22-Jul-08;;;
Aberdeen City Council;Local Government;S.1313;;;;
Aberdeen Harbour Board;Former Public Non-Financial Corporation;S.11001;2-Dec-15;Oct-16;In accordance with internationally agreed rules in the Europeans System of Accounts 2010 (ESA2010) and accompanying Manual on Government Deficit and Debt 2016 (MGDD 2016), ONS has reviewed the classification of Scottish Trust Ports. Based on provisions contained within the Ports Act 1991, these were previously classified as public non-financial corporations (S.11001). The Scottish Government introduced new legislation in 2015 (the Harbours (Scotland) Act) to repeal sections of the Ports Act 1991 with a view to removing public sector control of Scottish Trust Ports. Following consideration of this legislation, ONS concluded that the Scottish Trust Ports are no longer subject to public sector controls. Scottish Trust Ports are now classified as private non-financial corporations, with this decision effective from 2 December 2015.;
Aberdeen Western Peripheral Route (AWPR) Special purpose Vehicles (SPVs);Central Government;S.1311;11-Dec-14;Jul-15;;
Aberdeenshire Council;Local Government;S.1313;;;;
Abertawe Bro Morgannwg University Health Board;Central Government;S.1311;1-Jun-09;Mar-11;;
ABF The Soldiers Charity;Former Central Government;S.1311;1-Mar-13;Mar-13;;
ABN Amro Bank NV;Public Financial Corporation;S.12201;;;;
Academies (En Bloc);Central Government;S.1311;1-Jul-02;Jul-10;;
Academy Trusts (En Bloc);Central Government;S.1311;;;;
Accountant General of the Senior Courts;CG Funds, Accounts, Courts and Posts;S.1311;;;Prior to the creation of the Supreme Court in 2009, this post was called the Accountant General of the Supreme Court.;
Accounts Commission for Scotland;Central Government;S.1311;;;;
Actis;Public Non-Financial Corporation;S.11001;;;;
Adam and Company plc;Public Financial Corporation;S.12201;;;;
Administration of Radioactive Substances Advisory Committee;Central Government;S.1311;;;;
Adult Learning Inspectorate;Former Central Government;S.1311;;;;
Adur District Council;Local Government;S.1313;;;;
Advantage - West Midlands;Former Central Government;S.1311;1-Jul-12;Aug-12;;
Adventure Activities Licensing Authority/TQS Ltd;Central Government;S.1311;;;;
Advisory Board on Fair Trading in Telecommunications;Former Central Government;S.1311;;;;
Advisory Board on Family Law;Former Central Government;S.1311;1-Aug-03;Oct-11;;
Advisory Board on Restricted Patients;Former Central Government;S.1311;;;;
Advisory Board on Sustainable Development;Former Central Government;S.1311;;;;
Advisory Board on the Registration of Homeopathic Products;Central Government;S.1311;;;;
Advisory Committee for Disabled People in Employment and Training;Former Central Government;S.1311;1-Apr-02;Nov-11;;
Advisory Committee for the Joint Environmental Markets Unit;Former Central Government;S.1311;;;;
Advisory Committee for Wales;Central Government;S.1311;;;;
Advisory Committee of the Therapeutic Professions Allied to Medicine;Former Central Government;S.1311;;;;
Advisory Committee on Advertising;Former Central Government;S.1311;1-Jan-08;Sep-12;;
Advisory Committee on Animal Feedingstuffs;Central Government;S.1311;;;;
Advisory Committee on Arbitration Law;Former Central Government;S.1311;;;;
Advisory Committee on Borderline Substances;Central Government;S.1311;;;;
Advisory Committee on Breast Cancer Screening;Former Central Government;S.1311;;;;
Advisory Committee on Business and the Environment;Former Central Government;S.1311;30-Sep-03;Apr-18;;
Advisory Committee on Business Appointments;Central Government;S.1311;;;;
Advisory Committee on Cleaner Coal Technology;Former Central Government;S.1311;;;;
Advisory Committee on Conscientious Objectors;Central Government;S.1311;;;;
Advisory Committee on Consumer Products and the Environment;Former Central Government;S.1311;30-Sep-05;Aug-18;;
Advisory Committee on Dangerous Pathogens;Central Government;S.1311;;;;
Advisory Committee on Dental Establishments;Former Central Government;S.1311;;;;
Advisory Committee on Design Quality in the NHS;Former Central Government;S.1311;;;;
Advisory Committee on Distinction Awards;Central Government;S.1311;;;;
Advisory Committee on Genetic Testing;Former Central Government;S.1311;;;;
Advisory Committee on Hazardous Substances;Former Central Government;S.1311;1-Jul-12;Oct-12;;
Advisory Committee on Historic Wreck Sites;Former Central Government;S.1311;1-Mar-11;Feb-12;;
Advisory Committee on Juvenile Court Lay Panel (Northern Ireland);Former Central Government;S.1311;1-Apr-05;Oct-11;;
Advisory Committee on Legal Education and Conduct;Former Central Government;S.1311;;;;
Advisory Committee on Lifelong Learning Targets;Former Central Government;S.1311;;;;
Advisory Committee on National Health Service Drugs;Central Government;S.1311;;;;
Advisory Committee on Novel Foods and Processes;Central Government;S.1311;;;;
Advisory Committee on Overseas Economic and Social Research;Former Central Government;S.1311;1-Jan-01;Sep-12;;
Advisory Committee on Packaging;Central Government;S.1311;;;;
Advisory Committee on Pesticides;Former Central Government;S.1311;1-Mar-15;Oct-17;The Advisory Committee on Pesticides provided independent scientific advice to Ministers and Governments on the authorisation of pesticides in the UK and on matters related to the control of pests. It was succeeded by the UK Expert Committee on Pesticides (ECP) which was established on 27 March 2015 under the Public Bodies Order 2015.;
Advisory Committee on Plant and Machinery;Former Central Government;S.1311;;;;
Advisory Committee on Releases to the Environment;Central Government;S.1311;;;;
Advisory Committee on Service Candidates;Former Central Government;S.1311;;;;
Advisory Committee on Sites of Special Scientific Interest;Former Central Government;S.1311;1-Apr-11;Sep-11;;
Advisory Committee on Telecommunications for Disabled and Elderly People (DIEL);Central Government;S.1311;;;;
Advisory Committee on the Government Art Collection;Central Government;S.1311;;;;
Advisory Committee on the Microbiological safety of Food;Central Government;S.1311;;;;
Advisory Committee on Work-Life Balance;Former Central Government;S.1311;;;;
Advisory Committees on General Commissioners of Income Tax;Central Government;S.1311;;;;
Advisory Committees on General Commissioners of Income Tax (Northern Ireland);Former Central Government;S.1311;1-Apr-09;May-12;;
Advisory Committees on Justices of the Peace (Northern Ireland);Former Central Government;S.1311;1-Jun-05;May-12;;
Advisory Committees on Justices of the Peace in England and Wales;Central Government;S.1311;;;;
Advisory Committees on Justices of the Peace in Lancashire, Greater Manchester and Merseyside;Central Government;S.1311;;;;
Advisory Conciliation and Arbitration Service;Central Government;S.1311;;;;
Advisory Council on Libraries;Former Central Government;S.1311;;;;
Advisory Council on National Records and Archives;Central Government;S.1311;1-Apr-04;Oct-11;;
Advisory Council on Public Records;Former Central Government;S.1311;1-Apr-04;Oct-11;;
Advisory Council on the Misuse of Drugs;Central Government;S.1311;;;;
Advisory Group on Hepatitis;Central Government;S.1311;;;;
Advisory Group on Military Medicine;Central Government;S.1311;1-Aug-08;Sep-13;;
Advisory Panel on Standards for the Planning Inspectorate;Former Central Government;S.1311;1-Jun-10;Oct-11;;
AEA Technology;Former Public Corporation;S.11001;;;;
Aerospace Committee;Former Central Government;S.1311;;;;
Age Concern Wiltshire;Local Government;S.1313;;;;
Aggregator Vehicle PLC;Central Government;S.1311;8-Aug-14;Feb-15;;
Agricultural Development and Advisory Service;Former Central Government;S.1311;;;;
Agricultural Dwelling House Advisory Committees (England) (ADHAC);Former Central Government;S.1311;1-Dec-13;Jan-16;Following a public consultation in 2012, the Government decided to close the 16 committees in England in December 2013;
Agricultural Dwelling House Advisory Committees (Wales);Former Central Government;S.1311;1-Mar-07;Oct-13;;
Agricultural Land Tribunal (Wales);Central Government;S.1311;;;;
Agricultural Land Tribunals (England);Former Central Government;S.1311;1-Jul-13;Jun-14;;
Agricultural Research Institute of Northern Ireland;Former Central Government;S.1311;1-Mar-06;May-12;;
Agricultural Wages Board for England and Wales;Former Central Government;S.1311;1-Jun-13;Oct-13;;
Agricultural Wages Board for Northern Ireland;Central Government;S.1311;;;;
Agricultural Wages Committees for England;Former Central Government;S.1311;1-Dec-13;Jan-16;Following a public consultation in 2012, the Government decided to close the 15 committees in England in December 2013;
Agricultural Wages Committees for Wales;Former Central Government;S.1311;1-Mar-07;Oct-13;;
Agriculture and Environment Biotechnology Commission;Former Central Government;S.1311;;;;
Agriculture and Horticulture Development Board;Central Government;S.1311;;;;
Agri-Food & Biosciences Institute;Central Government;S.1311;1-Apr-06;May-12;;
Air Safety Support International Ltd;Central Government;S.1311;1-Nov-00;Oct-13;;
Air Travel Trust;Central Government;S.1311;1-Apr-08;Apr-12;;
Airborne Particles Expert Group;Central Government;S.1311;;;;
Aire Valley Finance (No2) plc;Public Financial Corporation;S.12501;;;;
Aire Valley Mortgages 2004-1 plc;Public Financial Corporation;S.12501;;;;
Aire Valley Mortgages 2005-1 plc;Public Financial Corporation;S.12501;;;;
Aire Valley Mortgages 2006-1 plc;Public Financial Corporation;S.12501;;;;
Aire Valley Mortgages 2007-1 plc;Public Financial Corporation;S.12501;;;;
Aire Valley Mortgages 2007-2 plc;Public Financial Corporation;S.12501;;;;
Aire Valley Mortgages 2008-1 plc;Public Financial Corporation;S.12501;;;;
Aire Valley Warehousing 3 Limited;Public Financial Corporation;S.12501;;;;
Airport Advertising Ltd (s MA);Public Non-Financial Corporation;S.11001;1-Feb-13;Jun-15;;
Airport Driving Range Company Limited;Public Non-Financial Corporation;S.11001;22-Nov-13;Nov-15;"On 14 November 2013, the Scottish Government purchased TS Prestwick Holdco Limited (formerly Macrocom Limited) and used it as a vehicle to acquire Prestwick Aviation Holdings Limited, the parent company of Glasgow Prestwick Airport Limited and other subsidiaries.  Collectively, this group of subsidiaries own and operate Glasgow Prestwick Airport Limited.  In conjunction with reviewing the statistical classification of Glasgow Prestwick Airport Limited following this intervention, the ONS also assessed the classification of all subsidiaries within the group.  Assessment was conducted in accordance with internationally agreed rules in the European System of Accounts 2010 (ESA 2010) and accompanying Manual on Government Deficit and Debt 2014 (MGDD 2014).  The following conclusions were made; - Both TS Prestwick Holdco Limited and Prestwick Aviation Holdings Limited should be classified as public holding companies as they meet the description of holding companies provided in ESA 2010 para. 2.14 and are subject to public sector control through share ownership and board appointments (by proxy).  In accordance with MGDD I.6.2, 15-18, both units are to be recorded in the central government (S.1311) subsector as captive financial institutions. - Both Glasgow Prestwick Airport Limited and Prestwick Airport Limited should be classified as public non-financial corporations.  This was due to the fact that both units charge economically significant prices, pass the market test detailed in ESA 2010 3.33, and are subject to public sector control through board appointments and share ownership (by proxy). - Each of Airport Driving Range Company Limited, Prestwick Airport Property Limited and Prestwick Airport Infrastructure Limited meet the description of artificial subsidiaries provided in ESA 2010, 2.24-2.26.  Consequently, they will each be consolidated with their parent unit(s) as public non-financial corporations. All classification decisions apply from 22 November 2013, the date TS Prestwick Holdco Limited purchased Prestwick Aviation Holdings Limited.";
Airport Management Consultants Ltd (s MA);Former Public Corporation;S.11001;1-Jul-06;Aug-13;;
Airport Management Services Limited (s H&IE);Central Government;S.1311;;;;
Airport Petroleum Ltd (s MA);Public Non-Financial Corporation;S.11001;1-Feb-13;Jun-15;;
Airport Trading Ltd (s MA);Former Public Corporation;S.11001;1-Jul-06;Aug-13;;
Alcohol Education and Research Council;Former Central Government;S.1311;1-Jul-12;Sep-12;;
Allerdale Borough Council;Local Government;S.1313;;;;
Amber Valley Borough Council;Local Government;S.1313;;;;
Amble Development Trust Ltd;Local Government;S.1313;;;;
AMC Bank Ltd;Public Financial Corporation;S.12201;;;;
Amercare Ltd - (s BNFL);Former Public Corporation;S.11001;;;;
Amlwch Port;Local Government;S.1313;;;;
Ancient Monuments Board for Scotland;Former Central Government;S.1311;1-Apr-06;Feb-12;;
Ancient Monuments Board for Wales;Former Central Government;S.1311;1-Jun-03;Feb-12;;
Aneurin Bevan University Health Board;Central Government;S.1311;1-Jun-09;Mar-11;;
Angel Train Contracts;Former Public Corporation;S.11001;;;;
Anglian Water;Former Public Corporation;S.11001;;;;
Angus Council;Local Government;S.1313;;;;
Animal Diseases Research Association;Former Central Government;S.1311;;;;
Animal Health;Former Central Government;S.1311;;;;
Animal Health and Plant Agency;Central Government;S.1311;1-Oct-14;Sep-18;;
Animal Health and Veterinary Laboratories Association;Former Central Government;S.1311;1-Oct-14;Feb-18;;
Animal Planet (Latin Am) (50%) (sBBCW) (Associate);Public Non-Financial Corporation;S.11001;;;;
Animal Procedures Committee;Central Government;S.1311;;;;
Animal Welfare Advisory Committee (MOD);Former Central Government;S.1311;1-Jul-10;Jul-12;;
Annan Harbour;Former Public Non-Financial Corporation;S.11001;2-Dec-15;Oct-16;In accordance with internationally agreed rules in the Europeans System of Accounts 2010 (ESA2010) and accompanying Manual on Government Deficit and Debt 2016 (MGDD 2016), ONS has reviewed the classification of Scottish Trust Ports. Based on provisions contained within the Ports Act 1991, these were previously classified as public non-financial corporations (S.11001). The Scottish Government introduced new legislation in 2015 (the Harbours (Scotland) Act) to repeal sections of the Ports Act 1991 with a view to removing public sector control of Scottish Trust Ports. Following consideration of this legislation, ONS concluded that the Scottish Trust Ports are no longer subject to public sector controls. Scottish Trust Ports are now classified as private non-financial corporations, with this decision effective from 2 December 2015.;
Antrim and Newtownabbey Borough Council;Local Government;S.1313;;;;
